Nom de la Solution,Nom du Logo (avec extension),Quartier,Taille,Fond Coloré Ajouté
Cyberium,Cyberium_01.png,Protéger,large,Non
CyferAll (Qrshield),CyferAll_01.png,Protéger,small,Oui
DMARC Expert,DMARC_01.png,Protéger,medium,Non
Dassault Systems (OUTSCALE) ,Outscale - Dassault Systems_01.png,Protéger,large,Non
DataDome,DataDome_01.png,Protéger,large,Non
DigitalBerry,DigitalBerry_01.png,Protéger,large,Oui
Docaposte Arkhinéo - Docaposte (SAE) ,Banque des Territoires_ Docaposte (La Poste)_ Dassault Systèmes_ Bouygues Telecom_01.png,Protéger,medium,Non
Docaposte Arkhinéo - Docaposte (SAE) ,Banque des Territoires_ Docaposte (La Poste)_ Dassault Systèmes_ Bouygues Telecom_01.png,Protéger,medium,Non
Docaposte Arkhinéo - Docaposte (SAE) ,Banque des Territoires_ Docaposte (La Poste)_ Dassault Systèmes_ Bouygues Telecom_01.png,Protéger,small,Non
EXO PLATFORM,EXO PLATFORM_01.png,Protéger,small,Non
Enovacom,Enovacom - Orange Business_01.svg,Protéger,large,Non
Equisign,Equisign_01.png,Protéger,medium,Non
Evertrust (Horizon) ,EVERTRUST_01.png,Protéger,large,Non
Evertrust (Horizon) ,EVERTRUST_01.png,Protéger,medium,Non
Eviden - Atos (IDnomic) ,Eviden - Atos_01.png,Protéger,small,Non
FAIRTRUST,FAIRTRUST_01.png,Protéger,large,Oui
FILIGRAN,FILIGRAN_01.svg,Protéger,small,Oui
Forecomm (BlueFiles),Forecomm_01.png,Protéger,medium,Oui
GitGuardian,GitGuardian_01.svg,Protéger,large,Oui
GottaPhish,GottaPhish_01.png,Protéger,small,Oui
HarfangLab,HarfangLab_01.svg,Protéger,small,Non
IDECSI,IDECSI_01.webp,Protéger,large,Non
IDactis,IDactis_01.png,Protéger,medium,Non
IS Decisions ,IS Decisions_01.png,Protéger,medium,Non
JALIO,Jalios_01.png,Protéger,medium,Non
JAMESPOT,JAMESPOT_01.png,Protéger,medium,Non
JUNE-FACTORY,JUNE-FACTORY_01.png,Protéger,large,Non
KEEEX,KEEEX_01.png,Protéger,large,Non
Keopass,KeoPass_01.png,Protéger,large,Oui
Kerys Software (YS Desktop / YS Cloud) ,Kerys Software_01.png,Protéger,small,Non
LEVIIA,LEVIIA_01.png,Protéger,small,Non
LEX PERSONA,Goodflag (ex-Lex Persona)_01.svg,Protéger,large,Oui
LEX PERSONA,Goodflag (ex-Lex Persona)_01.svg,Protéger,large,Oui
LINAGORA,LINAGORA_01.svg,Protéger,small,Non
LOCKSELF,LOCKSELF_01.svg,Protéger,small,Non
LYBERO.NET,LYBERO.NET_01.svg,Protéger,small,Non
Ledger,Ledger_01.svg,Protéger,small,Non
Legapass,Legapass_01.jpg,Protéger,small,Oui
MEROX,MEROX_01.svg,Protéger,small,Non
Mailinblack (Protect) ,Mailinblack_01.webp,Protéger,medium,Oui
Memority,Memority_01.png,Protéger,large,Non
NAMESHIELD,NAMESHIELD_01.png,Protéger,small,Non
Neowave,Neowave_01.png,Protéger,large,Oui
NetExplorer (NetExplorer Share),NetExplorer_01.png,Protéger,medium,Non
Novalys (Visual Guard),Novalys_01.png,Protéger,medium,Non
OGO Security,OGO Security_01.png,Protéger,medium,Oui
Olfeo,Olfeo - Ekinops_01.svg,Protéger,large,Oui
Olvid ,Olvid_01.png,Protéger,medium,Non
Oodrive,Oodrive_01.svg,Protéger,small,Non
OpenSezam (AuthSezam),OpenSezam_01.png,Protéger,medium,Oui
Opencell Security,Opencell Security_01.svg,Protéger,small,Non
P4S,P4S_01.svg,Protéger,medium,Oui
PARSEC,PARSEC_01.png,Protéger,large,Oui
POW Software (ByteSync),POW Software_01.webp,Protéger,small,Non
PresentID,PresentID_01.png,Protéger,medium,Oui
Private Discuss,Private Discuss_01.png,Protéger,medium,Oui
Provenrun,Provenrun_01.svg,Protéger,small,Non
Ravel Technologies,Ravel Technologies_01.png,Protéger,large,Oui
ResoSafe (Box2Cloud),ResoSafe - ROS DIGITAL_01.svg,Protéger,small,Oui
Riot,Riot_01.png,Protéger,medium,Non
Rubycat,Rubycat_01.png,Protéger,small,Non
SYLink Technologie,SYLink Technologie_01.webp,Protéger,large,Oui
Sarus Technologies (Sarus),Sarus Technologies_01.svg,Protéger,small,Oui
Scality,Scality_01.png,Protéger,medium,Non
SecDojo,SecDojo_01.webp,Protéger,small,Oui
Seclab,Seclab_01.png,Protéger,medium,Non
Securas Technologies,Securas Technologies_01.png,Protéger,large,Non
Secure-IC,Secure-IC_01.svg,Protéger,large,Non
Secuserve,Secuserve_01.png,Protéger,large,Oui
Seela,Seela_01.webp,Protéger,large,Oui
Sekrata,Sekrata_01.svg,Protéger,large,Non
Serenicity,Serenicity_01.png,Protéger,medium,Non
Shadline,Shadline_01.svg,Protéger,large,Non
ShareID,ShareID_01.png,Protéger,small,Non
Sienna,Sienna_01.webp,Protéger,large,Oui
Skyld Labs,Skyld_01.png,Protéger,large,Oui
Snowpack,Snowpack_01.svg,Protéger,small,Oui
Symbiotic Security (Symbiotic),Symbiotic Security_01.svg,Protéger,large,Oui
Systancia,Systancia_01.png,Protéger,medium,Non
TROUT SOFTWARE,TROUT SOFTWARE_01.png,Protéger,small,Oui
Texplained,Texplained_01.jpg,Protéger,large,Oui
Thales (SureDrop),Thales_01.svg,Protéger,large,Non
Thales (SureDrop),Thales_01.svg,Protéger,small,Non
Thales (SureDrop),Thales_01.svg,Protéger,small,Non
Thales (SureDrop),Thales_01.svg,Protéger,small,Non
Thales (SureDrop),Thales_01.svg,Protéger,small,Non
TheGreenBow,TheGreenBow_01.png,Protéger,small,Non
Timeref (Digital Vault & Data Room),Timeref_01.svg,Protéger,medium,Oui
Tixeo,Tixeo_01.png,Protéger,large,Non
Tranquil IT,Tranquil IT_01.png,Protéger,small,Oui
Treebal,Treebal_01.svg,Protéger,large,Non
Trustpair ,Trustpair_01.svg,Protéger,small,Oui
Tyrex,Tyrex (ex-KUB)_01.png,Protéger,medium,Non
Ubika,Ubika_01.png,Protéger,small,Non
Ugloo,Ugloo_01.png,Protéger,large,Non
V6Protect,V6Protect_01.png,Protéger,small,Non
Valmido,Valmido_01.jpg,Protéger,large,Non
Vaultys,Vaultys_01.png,Protéger,small,Oui
WALLIX (Bastion),WALLIX_01.png,Protéger,medium,Non
WaToo,WaToo_01.png,Protéger,medium,Oui
Whaller,Whaller_01.svg,Protéger,medium,Oui
Whispeak,Whispeak_01.png,Protéger,small,Non
Wimi ,Wimi_01.png,Protéger,medium,Non
Woleet,Woleet_01.png,Protéger,small,Oui
Wraptor,Wraptor_01.png,Protéger,medium,Non
Wysam,Wysam_01.png,Protéger,medium,Non
Youzer,Youzer_01.png,Protéger,large,Non
Zama,Zama_01.svg,Protéger,medium,Non
myRGPD.pro,myRGPD.pro_01.png,Protéger,small,Oui
ANSSI (Mon Service Sécurisé),ANSSI_01.webp,Gouverner,small,Oui
Adacis (Agrios),Adacis_01.png,Gouverner,large,Oui
Board of Cyber,Board of Cyber_01.svg,Gouverner,medium,Non
CNIL et ATNOS (PIA) ,CNIL et ATNOS_01.png,Gouverner,medium,Oui
CartographIT,CartographIT_01.webp,Gouverner,medium,Non
Dastra,Dastra_01.svg,Gouverner,large,Non
Egerie,Egerie_01.svg,Gouverner,large,Oui
Intuitem (CISO Assistant),Intuitem_02.png,Gouverner,medium,Oui
Kleer,Kleer_01.png,Gouverner,medium,Oui
MAKE IT SAFE,MAKE IT SAFE_01.png,Gouverner,medium,Non
Mailinblack (Protect) ,Mailinblack_01.webp,Protéger,large,Oui
Risk Hunter,Risk Hunter_01.svg,Gouverner,small,Non
Skypher,Skypher_01.png,Gouverner,large,Non
Smart Global Governance,Smart Global Governance_01.svg,Gouverner,small,Non
Suzan.ai,Suzan.ai_01.png,Gouverner,large,Non
Syspertec Group,Syspertec Group_01.png,Gouverner,small,Oui
TenderCrunch,TenderCrunch_01.svg,Gouverner,small,Oui
TrustInSoft,TrustInSoft_01.png,Gouverner,medium,Non
Arx One,Arx One_01.svg,Récupérer,small,Non
Atempo,Atempo_01.png,Récupérer,medium,Non
BKube,BKube_01.png,Récupérer,medium,Non
BeBackup,BeBackup_01.webp,Récupérer,large,Oui
Beemo Technologie (Data Safe Restore),Beemo Technologie_01.svg,Récupérer,large,Non
BonjourCyber (BonjourPhishing),BonjourCyber_01.png,Protéger,small,Non
DropCloud,DropCloud_01.png,Récupérer,large,Oui
KIWI BACKUP,KIWI BACKUP_01.svg,Récupérer,large,Oui
Oxibox,Oxibox_01.webp,Récupérer,medium,Oui
 Alcyconie (PIA),Alcyconie_01.png,Répondre,small,Non
 Chapsvision (SocialRoom),Chapsvision_01.png,Répondre,medium,Oui
AUCAE,AUCAE_01.png,Répondre,large,Non
CriseBox.com (CriseBox),CriseBox.com_01.webp,Répondre,large,Non
DefensX,DefensX_01.png,Répondre,small,Oui
Diateam (Hybrid Cyber Range) ,Diateam_01.png,Répondre,medium,Non
Easylience,Easylience_01.png,Répondre,large,Non
Giskard,Giskard AI_01.svg,Répondre,small,Oui
ISE SYSTEMS,ISE SYSTEMS_01.png,Répondre,large,Non
MINDFLOW,MINDFLOW_01.svg,Répondre,medium,Non
UncovAI,UncovAI_01.png,Répondre,large,Non
 Chapsvision (SocialRoom),Chapsvision_01.png,Répondre,large,Oui
 Chapsvision (SocialRoom),Chapsvision_01.png,Répondre,medium,Oui
 Chapsvision (SocialRoom),Chapsvision_01.png,Répondre,medium,Oui
 Chapsvision (SocialRoom),Chapsvision_01.png,Répondre,medium,Oui
 Chapsvision (SocialRoom),Chapsvision_01.png,Répondre,small,Oui
 Reciproc-IT (Oligo Risk Manager),Reciproc-IT_01.png,Identifier,medium,Non
All4Tec (Agile Risk Manager),All4Tec_01.png,Identifier,small,Non
Anozr Way,Anozr Way_01.svg,Identifier,small,Non
Citalid ,Citalid_01.webp,Identifier,small,Oui
CyberVadis,CyberVadis_01.svg,Identifier,large,Non
Cyberwatch,Cyberwatch_01.jpg,Identifier,small,Oui
Elba,Elba Security_01.png,Identifier,small,Non
Extern SN (Sentinelle RGPD),Extern SN_01.png,Identifier,medium,Oui
Hackuity Vulnerability Management Platform,Hackuity_01.png,Identifier,large,Non
Holding Benoit (Set in Stone) ,Set in Stone (Holding Benoit)_01.webp,Identifier,small,Oui
Hornswaggle,Hornswaggle_01.png,Identifier,large,Oui
IN Groupe,IN Groupe_01.svg,Identifier,medium,Oui
MOABI SOLUTIONS,MOABI SOLUTIONS_01.png,Identifier,large,Non
OpenCVE ,OpenCVE_01.png,Identifier,small,Non
OverSOC (Overview) ,OverSOC_01.svg,Identifier,small,Non
Phinasoft,Phinasoft_01.png,Identifier,small,Non
Preventeo,Preventeo_01.png,Identifier,medium,Oui
Purplemet,Purplemet_01.png,Identifier,small,Oui
Qontrol,Qontrol_01.svg,Identifier,medium,Non
Reversense (Dexcalibur),Reversense_01.svg,Identifier,small,Oui
Scovery,Scovery_01.webp,Identifier,large,Non
SeckIOT,SeckIOT_01.png,Identifier,medium,Non
Shindan,Shindan_01.png,Identifier,large,Oui
Situation,Situation.sh_01.png,Identifier,large,Oui
Sonar Clarity,Avanoo (ex - Sonar Clarity)_01.png,Identifier,medium,Non
Tenacy,Tenacy_01.webp,Identifier,medium,Oui
Thales (SureDrop),Thales_01.svg,Protéger,large,Non
Thales (SureDrop),Thales_01.svg,Protéger,medium,Non
Uncovery,Uncovery_01.png,Identifier,small,Oui
Vigilan Solutions,Vigilan Solutions_01.jpg,Identifier,large,Oui
YesWeHack,YesWeHack_01.png,Identifier,large,Non
 Gatewatcher (NDR Gatewatcher),Gatewatcher_01.svg,Détecter,small,Oui
 Gatewatcher (NDR Gatewatcher),Gatewatcher_01.svg,Détecter,small,Oui
AAIS Armageddon AI Security (AAIS.ai),AAIS.ai_01.png,Détecter,small,Oui
Aleph Networks,Aleph Networks_01.png,Détecter,small,Non
AlgoSecure (AlgoLightHouse),AlgoSecure_01.png,Détecter,medium,Non
Armony System (CyFENCE),Armony System_01.png,Détecter,large,Non
Bleckwen,Bleckwen_01.png,Détecter,medium,Oui
Bodyguard,Bodyguard_01.png,Détecter,small,Non
CrowdSec,CrowdSec_01.svg,Détecter,small,Oui
Custocy NDR,Custocy_01.svg,Détecter,small,Oui
Custocy NDR,Custocy_01.svg,Détecter,small,Oui
CybelAngel,CybelAngel_01.png,Détecter,large,Non
Cybi (Scuba),Cybi_01.png,Détecter,medium,Oui
DeepFrauds.ai,DeepFrauds.ai_01.png,Détecter,small,Oui
Elysium Security,Elysium Security_01.svg,Détecter,small,Non
Epieos,Epieos_01.svg,Détecter,large,Non
Eyst,Eyst Technology_01.png,Détecter,small,Non
Finovox,Finovox_01.svg,Détecter,large,Oui
France Verif,France Verif_01.svg,Détecter,medium,Oui
GLIMPS,GLIMPS_01.svg,Détecter,large,Oui
INSPEERE,INSPEERE_01.png,Détecter,medium,Non
ITrust (Reveelium),ITrust - Iliad_01.png,Détecter,large,Non
ITrust (Reveelium),ITrust - Iliad_01.png,Détecter,small,Non
Malizen,Malizen_01.webp,Détecter,large,Oui
Mr Suricate,Mr Suricate_01.png,Détecter,large,Non
Nefture,Nefture_01.png,Détecter,large,Oui
ONYPHE,ONYPHE_01.svg,Détecter,large,Non
ORSEC Technologies SAS,ORSEC Technologies SAS - Groupe SYLink_01.png,Détecter,medium,Oui
PORTYQ,portyq_01.jpg,Détecter,large,Oui
PSC France - Cyber-Detect (Gorille),PSC France - Cyber-Detect_01.png,Détecter,medium,Oui
Parcoor,Parcoor_01.png,Détecter,large,Oui
Patrowl,Patrowl_01.png,Détecter,medium,Oui
Pragmable,Pragmable_01.png,Détecter,medium,Non
QevlarAI,QevlarAI_01.svg,Détecter,medium,Oui
Rebop,Rebop_01.jpg,Détecter,large,Non
Rfence,Rfence_01.png,Détecter,large,Oui
SEKOIA.IO (XDR Platform),SEKOIA.IO_01.svg,Détecter,medium,Oui
SeedFence,SeedFence_01.png,Détecter,medium,Non
Sesame IT,Jizô AI (ex-Sesame IT)_01.png,Détecter,small,Non
Stormshield - Airbus CyberSecurity (Stormshield Network Security),Stormshield - Airbus CyberSecurity_01.png,Détecter,small,Non
StrangeBee (TheHive),StrangeBee_01.svg,Détecter,small,Oui
TEHTRIS (TEHTRIS XDR AI Platform),TEHTRIS_01.png,Détecter,large,Non
Wybot Cybersécurité (Wybot),Wybot Cybersécurité_01.png,Détecter,large,Non
Yneos (Malva.RE),Yneos_01.png,Détecter,small,Oui
Yogosha,Yogosha_01.png,Détecter,large,Non
Ziwit,Ziwit_01.svg,Détecter,large,Non
